model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,103070.png,x30,x4,43.20784786605711,0.006912061708147314,0.009514574892818928,0.008932298049330711,0.005468664690852165
LTE-NoCellPhase,bsd100,103070.png,x30,x4,70.00582437937348,0.00031601578852612835,0.0005709288525395095,0.0005024942802265286,0.0001147534858318977
LTE-PhaseZ,bsd100,103070.png,x30,x4,70.35529225759497,0.00030355359955031437,0.0005327893304638565,0.00047209186595864594,0.00011543217988219112
SC-INR,bsd100,103070.png,x30,x4,52.64735317654578,0.0023314834725692854,0.0037060740869492292,0.003877801587805152,0.0010909272823482752
SC-INR-NoSinc,bsd100,103070.png,x30,x4,70.11975228451304,0.0003118978533908105,0.0005581824225373566,0.0004899133346043527,0.00011574239761102945
SC-INR-EQ,bsd100,103070.png,x30,x4,53.97698442730218,0.002000556303490659,0.0034375295508652925,0.0033858490642160177,0.0012303967960178852
LTE,bsd100,105025.png,x8,x4,52.94019794873053,0.0022541878393254255,0.0038111682515591383,0.00392994424328208,0.0005135879036970437
LTE-NoCellPhase,bsd100,105025.png,x8,x4,65.62587117493648,0.0005232466316048461,0.0009175799204967916,0.0009446066687814891,9.661734657129273e-05
LTE-PhaseZ,bsd100,105025.png,x8,x4,65.32824494731607,0.0005414866484887496,0.0009443783783353865,0.0009704121039249003,0.00010609893797663972
SC-INR,bsd100,105025.png,x8,x4,56.476183501924496,0.0015003439276791125,0.0027596703730523586,0.002720889635384083,0.0002991132205352187
SC-INR-NoSinc,bsd100,105025.png,x8,x4,66.49164021499142,0.0004736068653583654,0.0008481911499984562,0.0008576061227358878,0.00010129348083864897
SC-INR-EQ,bsd100,105025.png,x8,x4,56.20529030648295,0.001547873569877918,0.0030518053099513054,0.0030048007611185312,0.00023013711324892938
LTE,bsd100,105025.png,x16,x4,43.41237638113928,0.006751203218889294,0.010624830611050129,0.00886382907629013,0.0022092622239142656
LTE-NoCellPhase,bsd100,105025.png,x16,x4,73.11227657494439,0.00022099689466911014,0.00040572223952040076,0.000364229257684201,4.7771362005732954e-05
LTE-PhaseZ,bsd100,105025.png,x16,x4,73.29011044570376,0.00021651823476884284,0.000408142659580335,0.0003749713650904596,4.687853652285412e-05
SC-INR,bsd100,105025.png,x16,x4,51.19837346359904,0.0027547445137972434,0.004995383787900209,0.004313632845878601,0.0008439542725682259
SC-INR-NoSinc,bsd100,105025.png,x16,x4,72.97775413933644,0.00022444621864758026,0.00040482994518242776,0.0003651320294011384,4.9348956963513047e-05
SC-INR-EQ,bsd100,105025.png,x16,x4,50.69460467418853,0.0029192397654421655,0.0055571445263922215,0.0051591177470982075,0.0006170365959405899
LTE,bsd100,105025.png,x30,x4,41.518026906215255,0.008396507005961618,0.011683833785355091,0.006590567994862795,0.005772043019533157
LTE-NoCellPhase,bsd100,105025.png,x30,x4,68.10670041329155,0.00039324660264654647,0.0006879415013827384,0.00030723001691512764,0.00014335547166410834
LTE-PhaseZ,bsd100,105025.png,x30,x4,68.23864867614395,0.00038731789795561306,0.0006686589331366122,0.00030654625152237713,0.0001483475207351148
SC-INR,bsd100,105025.png,x30,x4,51.64218772260601,0.002617523647219404,0.004293548408895731,0.0023080992978066206,0.0014681577449664474
SC-INR-NoSinc,bsd100,105025.png,x30,x4,67.6316469120316,0.00041535328957055436,0.0007293855305761099,0.00032986555015668273,0.00015362688282039016
SC-INR-EQ,bsd100,105025.png,x30,x4,51.00902934986862,0.0028154546252451874,0.0048431940376758575,0.0021593559067696333,0.0013914428418502212
LTE,urban100,img_001.png,x8,x4,44.1430256420752,0.006206527984262078,0.011727677658200264,0.011906281113624573,0.000720041454769671
LTE-NoCellPhase,urban100,img_001.png,x8,x4,59.96336278861566,0.0010042269231844872,0.002018650295212865,0.002036427613347769,0.00011666138743748888
LTE-PhaseZ,urban100,img_001.png,x8,x4,59.956314527000984,0.0010050421449901866,0.0020045069977641106,0.00203668512403965,0.0001263879967154935
SC-INR,urban100,img_001.png,x8,x4,48.39191132908084,0.0038054360980678,0.0076118395663797855,0.007817561738193035,0.00029452613671310246
SC-INR-NoSinc,urban100,img_001.png,x8,x4,59.61234798545661,0.0010456409926836478,0.0021122032776474953,0.0021316800266504288,0.00016635358042549342
SC-INR-EQ,urban100,img_001.png,x8,x4,47.90623164915527,0.004024282105734253,0.00834505632519722,0.008363795466721058,0.0002942935097962618
LTE,urban100,img_001.png,x16,x4,38.942805079422754,0.01129431109716343,0.018844028934836388,0.018991582095623016,0.0016374478582292795
LTE-NoCellPhase,urban100,img_001.png,x16,x4,70.68157815242445,0.00029236211324383136,0.0005495722871273756,0.0005368368001654744,5.080373739474453e-05
LTE-PhaseZ,urban100,img_001.png,x16,x4,71.18234821936699,0.00027598316383342094,0.0005289494874887168,0.0005176443955861032,5.97122561885044e-05
SC-INR,urban100,img_001.png,x16,x4,49.13140177043752,0.003494861033072893,0.0064804223366081715,0.006539362948387861,0.00043247727444395423
SC-INR-NoSinc,urban100,img_001.png,x16,x4,69.68841518249539,0.0003277775772718909,0.0006308358279056847,0.0006234868196770549,9.221198706654832e-05
SC-INR-EQ,urban100,img_001.png,x16,x4,48.643119917206604,0.003696953636670515,0.007189659867435694,0.007357102353125811,0.00036756423651240766
LTE,urban100,img_001.png,x30,x4,35.66146280855328,0.01647884844476308,0.025264859199523926,0.026762830093503,0.004282038658857346
LTE-NoCellPhase,urban100,img_001.png,x30,x4,66.23745442162836,0.0004876713912805689,0.0009473649552091956,0.0008693478885106742,0.00010621107503538951
LTE-PhaseZ,urban100,img_001.png,x30,x4,66.44694978360587,0.0004760499356855701,0.0009212578879669309,0.0008441909449175,0.00010678200487745926
SC-INR,urban100,img_001.png,x30,x4,47.95149607974683,0.004003365074123616,0.007338740397244692,0.007528194226324558,0.0008242143667303026
SC-INR-NoSinc,urban100,img_001.png,x30,x4,65.88258647283968,0.0005080081460348989,0.000996521906927228,0.0009038893040269613,0.0001079731882782653
SC-INR-EQ,urban100,img_001.png,x30,x4,47.4690673542533,0.0042320094839837456,0.008226152509450912,0.0083662960678339,0.000736938149202615
LTE,urban100,img_002.png,x8,x4,43.17866923691528,0.006935320537582022,0.011329482309520245,0.010535777546465397,0.0017504040151834488
LTE-NoCellPhase,urban100,img_002.png,x8,x4,59.793473549988576,0.0010240621685563554,0.0016811528475955129,0.0017709259409457445,0.00015732385509181768
LTE-PhaseZ,urban100,img_002.png,x8,x4,59.85863884929583,0.0010164079599201234,0.0016353674000129104,0.0017572569195181131,0.00016808017971925437
SC-INR,urban100,img_002.png,x8,x4,48.62350856805814,0.003705310196844932,0.006499074399471283,0.0061478265561163425,0.0006609015399590135
SC-INR-NoSinc,urban100,img_002.png,x8,x4,59.451360350845555,0.0010652020227323413,0.0017661354504525661,0.0018239362398162484,0.00018552056280896068
SC-INR-EQ,urban100,img_002.png,x8,x4,47.73407055273609,0.004104842255864884,0.007657875772565603,0.007258526049554348,0.0007593441987410188
LTE,urban100,img_002.png,x16,x4,34.61210158107869,0.018594945976317515,0.029359454289078712,0.02574138157069683,0.006361059844493866
LTE-NoCellPhase,urban100,img_002.png,x16,x4,67.55608097421184,0.00041898256511332466,0.000692974601406604,0.0006844957824796438,8.598683780292049e-05
