seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
2,SC-INR,Set14,x12,10,23.64200153,23.14060000,0.50140153
2,SC-INR,Set14,x16,10,22.74448927,22.10160000,0.64288927
2,SC-INR,Set14,x2,10,32.41725593,33.62750000,1.21024407
2,SC-INR,Set14,x24,10,21.35104343,20.62940000,0.72164343
2,SC-INR,Set14,x3,10,29.43787215,30.33150000,0.89362785
2,SC-INR,Set14,x30,10,20.49262360,19.80290000,0.68972360
2,SC-INR,Set14,x4,10,27.93566366,28.61390000,0.67823634
2,SC-INR,Set14,x6,10,26.14046958,26.40790000,0.26743042
2,SC-INR,Set14,x8,10,25.03948516,24.92780000,0.11168516
2,SC-INR,Set5,x12,5,24.60101279,24.60100000,0.00001279
2,SC-INR,Set5,x16,5,23.07753141,23.07750000,0.00003141
2,SC-INR,Set5,x2,5,37.95650029,37.95650000,0.00000029
2,SC-INR,Set5,x24,5,21.32666912,21.32670000,0.00003088
2,SC-INR,Set5,x3,5,34.38335035,34.38340000,0.00004965
2,SC-INR,Set5,x30,5,20.49023837,20.49020000,0.00003837
2,SC-INR,Set5,x4,5,32.20069725,32.20070000,0.00000275
2,SC-INR,Set5,x6,5,28.81936533,28.81940000,0.00003467
2,SC-INR,Set5,x8,5,26.97642292,26.97640000,0.00002292
2,SC-INR,Urban100,x12,10,21.23103696,20.90580000,0.32523696
2,SC-INR,Urban100,x16,10,20.33674877,19.97470000,0.36204877
2,SC-INR,Urban100,x2,10,32.79671201,31.97710000,0.81961201
2,SC-INR,Urban100,x24,10,19.12505420,18.83970000,0.28535420
2,SC-INR,Urban100,x3,10,28.58826119,28.10390000,0.48436119
2,SC-INR,Urban100,x30,10,18.63741801,18.29710000,0.34031801
2,SC-INR,Urban100,x4,10,26.42833887,26.05110000,0.37723887
2,SC-INR,Urban100,x6,10,23.97953199,23.73360000,0.24593199
2,SC-INR,Urban100,x8,10,22.68310881,22.42980000,0.25330881
3,LIIF,BSD100,x12,10,23.73237879,23.48810000,0.24427879
3,LIIF,BSD100,x16,10,22.77905057,22.60880000,0.17025057
3,LIIF,BSD100,x2,10,32.12398003,32.17920000,0.05521997
3,LIIF,BSD100,x24,10,21.55093771,21.38510000,0.16583771
3,LIIF,BSD100,x3,10,29.11084789,29.12510000,0.01425211
3,LIIF,BSD100,x30,10,20.75568430,20.68060000,0.07508430
3,LIIF,BSD100,x4,10,27.67610783,27.61100000,0.06510783
3,LIIF,BSD100,x6,10,26.02209168,25.85060000,0.17149168
3,LIIF,BSD100,x8,10,24.97534216,24.80090000,0.17444216
3,LIIF,Set14,x12,10,23.61937712,23.15220000,0.46717712
3,LIIF,Set14,x16,10,22.69577128,22.08580000,0.60997128
3,LIIF,Set14,x2,10,32.38521791,33.62240000,1.23718209
3,LIIF,Set14,x24,10,21.37839573,20.67120000,0.70719573
3,LIIF,Set14,x3,10,29.44683899,30.35850000,0.91166101
3,LIIF,Set14,x30,10,20.49771790,19.81250000,0.68521790
3,LIIF,Set14,x4,10,27.93458807,28.62640000,0.69181193
3,LIIF,Set14,x6,10,26.16926692,26.46270000,0.29343308
3,LIIF,Set14,x8,10,25.05530408,24.94360000,0.11170408
3,LIIF,Set5,x12,5,24.59758462,24.59760000,0.00001538
3,LIIF,Set5,x16,5,23.04097647,23.04100000,0.00002353
3,LIIF,Set5,x2,5,38.01971852,38.01970000,0.00001852
3,LIIF,Set5,x24,5,21.38591469,21.38590000,0.00001469
3,LIIF,Set5,x3,5,34.39355805,34.39360000,0.00004195
3,LIIF,Set5,x30,5,20.51332134,20.51330000,0.00002134
3,LIIF,Set5,x4,5,32.18600080,32.18600000,0.00000080
3,LIIF,Set5,x6,5,28.91195290,28.91200000,0.00004710
3,LIIF,Set5,x8,5,26.99600051,26.99600000,0.00000051
3,LIIF,Urban100,x12,10,21.19367877,20.89100000,0.30267877
3,LIIF,Urban100,x16,10,20.26587853,19.95710000,0.30877853
3,LIIF,Urban100,x2,10,32.93882858,32.14100000,0.79782858
3,LIIF,Urban100,x24,10,19.10274200,18.84780000,0.25494200
3,LIIF,Urban100,x3,10,28.74141332,28.20190000,0.53951332
3,LIIF,Urban100,x30,10,18.60065957,18.30100000,0.29965957
3,LIIF,Urban100,x4,10,26.53498061,26.15010000,0.38488061
3,LIIF,Urban100,x6,10,24.07956629,23.79010000,0.28946629
3,LIIF,Urban100,x8,10,22.74842341,22.46260000,0.28582341
3,LTE,BSD100,x12,10,23.71516280,23.47180000,0.24336279
3,LTE,BSD100,x16,10,22.75141889,22.58570000,0.16571889
3,LTE,BSD100,x2,10,32.14393715,32.20320000,0.05926286
3,LTE,BSD100,x24,10,21.50685106,21.34930000,0.15755106
3,LTE,BSD100,x3,10,29.11223946,29.13110000,0.01886054
3,LTE,BSD100,x30,10,20.69157992,20.64650000,0.04507992
3,LTE,BSD100,x4,10,27.68824843,27.61620000,0.07204843
3,LTE,BSD100,x6,10,26.02974984,25.85830000,0.17144984
3,LTE,BSD100,x8,10,24.98193387,24.79850000,0.18343387
3,LTE,Set14,x12,10,23.60926703,23.14380000,0.46546703
3,LTE,Set14,x16,10,22.67426724,22.05670000,0.61756724
3,LTE,Set14,x2,10,32.40702123,33.66400000,1.25697878
