baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LIIF,3,Set14,lenna.png,OOD,6,0.15509045,0.11628641,1.00000000
LIIF,3,Set14,man.png,ID,3,-0.00141852,-0.00936585,0.33333333
LIIF,3,Set14,man.png,OOD,6,0.03220354,0.02686984,0.83333333
LIIF,3,Set5,baby.png,ID,3,0.02012896,0.02227675,1.00000000
LIIF,3,Set5,baby.png,OOD,6,0.05442789,0.02094227,1.00000000
LIIF,3,Set5,bird.png,ID,3,0.13108705,0.20383429,0.66666667
LIIF,3,Set5,bird.png,OOD,6,0.09967059,0.08971354,0.83333333
LIIF,3,Set5,butterfly.png,ID,3,0.00969457,-0.00259145,0.33333333
LIIF,3,Set5,butterfly.png,OOD,6,0.01936200,-0.00104666,0.50000000
LIIF,3,Set5,head.png,ID,3,0.03727689,0.03669413,1.00000000
LIIF,3,Set5,head.png,OOD,6,0.05185355,0.02869179,0.83333333
LIIF,3,Set5,woman.png,ID,3,0.11059954,0.08601277,1.00000000
LIIF,3,Set5,woman.png,OOD,6,0.03810769,0.04079581,0.83333333
LIIF,3,Urban100,img_001.png,ID,3,0.04165204,0.03837954,1.00000000
LIIF,3,Urban100,img_001.png,OOD,6,0.03238037,0.03428178,0.83333333
LIIF,3,Urban100,img_002.png,ID,3,0.08578101,0.09352643,1.00000000
LIIF,3,Urban100,img_002.png,OOD,6,0.13038758,0.12174504,1.00000000
LIIF,3,Urban100,img_003.png,ID,3,0.04048992,0.04039808,1.00000000
LIIF,3,Urban100,img_003.png,OOD,6,0.04470395,0.04174823,1.00000000
LIIF,3,Urban100,img_004.png,ID,3,0.48212985,0.48964619,1.00000000
LIIF,3,Urban100,img_004.png,OOD,6,0.16784124,0.17886754,1.00000000
LIIF,3,Urban100,img_005.png,ID,3,0.31302468,0.36455464,1.00000000
LIIF,3,Urban100,img_005.png,OOD,6,0.04132632,0.06314981,0.66666667
LIIF,3,Urban100,img_006.png,ID,3,0.09297755,0.05932869,1.00000000
LIIF,3,Urban100,img_006.png,OOD,6,0.06027779,0.04251096,1.00000000
LIIF,3,Urban100,img_007.png,ID,3,0.04314371,0.03939588,1.00000000
LIIF,3,Urban100,img_007.png,OOD,6,0.07102533,0.06782034,0.83333333
LIIF,3,Urban100,img_008.png,ID,3,0.14039965,0.12749496,1.00000000
LIIF,3,Urban100,img_008.png,OOD,6,0.03420744,0.03113468,1.00000000
LIIF,3,Urban100,img_009.png,ID,3,0.00804444,0.02177725,0.66666667
LIIF,3,Urban100,img_009.png,OOD,6,0.04485909,0.04237460,1.00000000
LIIF,3,Urban100,img_010.png,ID,3,0.03782230,0.03329947,1.00000000
LIIF,3,Urban100,img_010.png,OOD,6,-0.01272272,-0.01827713,0.16666667
