model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse,source_scale_num,consistency_psnr_y_lte,consistency_rmse_y_lte,edge_consistency_rmse_lte,texture_consistency_rmse_lte,flat_consistency_rmse_lte,delta_consistency_psnr_y_vs_lte,delta_consistency_rmse_y_vs_lte,delta_edge_consistency_rmse_vs_lte,delta_texture_consistency_rmse_vs_lte,delta_flat_consistency_rmse_vs_lte
SC-INR-NoPhi,bsd100,x8,x4,10,54.525816978602826,0.0019767675461979,0.0039030610234476,0.0040034512290731,0.0002954285409941,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,5.256017836761359,-0.0016782259121508,-0.0024730623583309004,-0.0024100087815895005,-0.0006489606304968
SC-INR-NoPhi,urban100,x16,x4,10,46.64788970004797,0.0050227176239522,0.0089902006555348,0.009198374976404,0.0006272079481277,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,8.222126858932832,-0.0079909493425917,-0.012549336766824098,-0.011069243564270399,-0.0019280617503682003
SC-INR-NoPhi,urban100,x30,x4,10,47.44801028448459,0.0046678138334822,0.0080079621868208,0.0082835478708148,0.0009523596869257,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,10.636368396208205,-0.011523679491076001,-0.017367216921411396,-0.0156403169035911,-0.0038820302150271
SC-INR-NoPhi,urban100,x8,x4,10,47.11243032975547,0.0046570232150291,0.0089257049839943,0.0089470691047608,0.0005390688318584,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,4.455047397693967,-0.0032560241411985994,-0.004982252418994899,-0.0047100152354688,-0.0009788642455533002
SC-INR-FixedOmega,bsd100,x16,x4,10,51.1103269179165,0.0029285644720131,0.0051904970081523,0.0048483168240636,0.0008918049454223,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,7.67904319546394,-0.004153369792223501,-0.0064267390640452,-0.0059804080519824995,-0.0018088653683662002
SC-INR-FixedOmega,bsd100,x30,x4,10,49.72932777182256,0.0033841403438394,0.0051131941843777,0.0045830679126083,0.0018139577005058,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,9.856331119783988,-0.0072006029131496,-0.0096918405964971,-0.0089029181282968,-0.0047253325115889
SC-INR-FixedOmega,bsd100,x8,x4,10,53.1760508074507,0.0022832880008485,0.0043288978980854,0.0043203755747526,0.0004397339860588,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,3.9062516656092328,-0.0013717054575002,-0.0020472254836931,-0.00209308443591,-0.0005046551854321001
SC-INR-FixedOmega,urban100,x16,x4,10,46.32679180399599,0.0050921316550209,0.0092248501721769,0.0090750018600374,0.00079659168332,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,7.901028962880851,-0.007921535311523,-0.012314687250182,-0.011192616680636999,-0.0017586780151759
SC-INR-FixedOmega,urban100,x30,x4,10,46.874426677660566,0.0049057296559024,0.0084674498997628,0.0082675252342596,0.0011790768541686,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,10.062784789384182,-0.011285763668655802,-0.016907729208469398,-0.0156563395401463,-0.0036553130477842005
SC-INR-FixedOmega,urban100,x8,x4,10,47.09944855877107,0.0046475803624878,0.0089057699311524,0.0087690001819282,0.0006225752513273,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,4.442065626709571,-0.0032654669937398993,-0.005002187471836799,-0.004888084158301399,-0.0008953578260844
