model,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave
SC-INR,urban100,img_002.png,x4,4,33.22476127969806,0.021815337488527844,0.04670115187764168,0.03428453579545021,0.05309927836060524,False,4
SC-INR-NoSinc,urban100,img_002.png,x4,1,26.859818483806887,0.04539511031413464,0.0,0.0,0.0,False,4
SC-INR-NoSinc,urban100,img_002.png,x4,2,32.311657040958636,0.02423355607475924,0.03329087793827057,0.0,0.03329087793827057,False,4
SC-INR-NoSinc,urban100,img_002.png,x4,4,30.510217455490498,0.029818728943464327,0.05309927836060524,0.0,0.05309927836060524,False,4
LTE,urban100,img_003.png,x4,1,23.96165474807029,0.06337489642961493,0.0,0.0,0.0,False,4
LTE,urban100,img_003.png,x4,2,30.323051293125598,0.03046824473182174,0.043962594121694565,0.01531980186700821,0.04680168256163597,False,4
LTE,urban100,img_003.png,x4,4,31.24479971168151,0.027400596315510683,0.06554222106933594,0.04284759238362312,0.0706331729888916,False,4
LTE-NoCellPhase,urban100,img_003.png,x4,1,23.84366168907649,0.0642416838141756,0.0,0.0,0.0,False,4
LTE-NoCellPhase,urban100,img_003.png,x4,2,29.896184869834048,0.03200300478902421,0.04680168256163597,0.0,0.04680168256163597,False,4
LTE-NoCellPhase,urban100,img_003.png,x4,4,29.342816705314533,0.03410822857541324,0.0706331729888916,0.0,0.0706331729888916,False,4
SC-INR-NoPhi,urban100,img_003.png,x4,1,23.966187819298636,0.0633418303903607,0.0,0.0,0.0,False,4
SC-INR-NoPhi,urban100,img_003.png,x4,2,30.469470264028892,0.029958943007801407,0.04400761052966118,0.013830777257680893,0.04680168256163597,False,4
SC-INR-NoPhi,urban100,img_003.png,x4,4,32.43756553236836,0.023884806287410996,0.06419186294078827,0.03573659434914589,0.0706331729888916,False,4
SC-INR,urban100,img_003.png,x4,1,24.004119402899974,0.06306581752097093,0.0,0.0,0.0,False,4
SC-INR,urban100,img_003.png,x4,2,30.473488467322678,0.029945086824052905,0.04384896904230118,0.014065414667129517,0.04680168256163597,False,4
SC-INR,urban100,img_003.png,x4,4,32.15548375563247,0.02467321892349161,0.06436891853809357,0.03841688111424446,0.0706331729888916,False,4
SC-INR-NoSinc,urban100,img_003.png,x4,1,23.935056656774513,0.06356926164769972,0.0,0.0,0.0,False,4
SC-INR-NoSinc,urban100,img_003.png,x4,2,30.061785957063343,0.03139863021719781,0.04680168256163597,0.0,0.04680168256163597,False,4
SC-INR-NoSinc,urban100,img_003.png,x4,4,29.29442407854779,0.034298789754589436,0.0706331729888916,0.0,0.0706331729888916,False,4
LTE,urban100,img_004.png,x4,1,23.71857318353039,0.0651735444752506,0.0,0.0,0.0,False,4
LTE,urban100,img_004.png,x4,2,27.515845068104248,0.04209279328829381,0.0343342050909996,0.019963638857007027,0.038146693259477615,False,4
LTE,urban100,img_004.png,x4,4,28.701170617533748,0.03672328043442616,0.06288404017686844,0.053753044456243515,0.06935115158557892,False,4
LTE-NoCellPhase,urban100,img_004.png,x4,1,23.14995506594082,0.06958285543687877,0.0,0.0,0.0,False,4
LTE-NoCellPhase,urban100,img_004.png,x4,2,26.4228844116043,0.04773707219883829,0.038146693259477615,0.0,0.038146693259477615,False,4
LTE-NoCellPhase,urban100,img_004.png,x4,4,26.57277704735565,0.04692033969086688,0.06935115158557892,0.0,0.06935115158557892,False,4
SC-INR-NoPhi,urban100,img_004.png,x4,1,23.466895896959503,0.06708960040296819,0.0,0.0,0.0,False,4
SC-INR-NoPhi,urban100,img_004.png,x4,2,27.250347996863816,0.04339928755369757,0.03464673459529877,0.019581589847803116,0.038146693259477615,False,4
SC-INR-NoPhi,urban100,img_004.png,x4,4,29.529485123072195,0.03338302931702898,0.06209510192275047,0.04797292500734329,0.06935115158557892,False,4
SC-INR,urban100,img_004.png,x4,1,23.684637240865563,0.06542867688209858,0.0,0.0,0.0,False,4
SC-INR,urban100,img_004.png,x4,2,27.54594692763801,0.041947168792287444,0.03435370698571205,0.019332099705934525,0.038146693259477615,False,4
SC-INR,urban100,img_004.png,x4,4,29.434398122898205,0.033750490887590856,0.061710938811302185,0.04959489405155182,0.06935115158557892,False,4
SC-INR-NoSinc,urban100,img_004.png,x4,1,23.493166698270986,0.06688699192525344,0.0,0.0,0.0,False,4
