seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 1
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 156/1000, train: loss=0.0314, val: psnr=30.0066, 40.2s 1.8h/11.2h
epoch 157/1000, train: loss=0.0318, val: psnr=29.8840, 40.1s 1.8h/11.2h
epoch 158/1000, train: loss=0.0315, val: psnr=30.1410, 40.7s 1.8h/11.2h
epoch 159/1000, train: loss=0.0315, val: psnr=29.8341, 40.2s 1.8h/11.2h
epoch 160/1000, train: loss=0.0318, val: psnr=30.1349, 39.7s 1.8h/11.2h
epoch 161/1000, train: loss=0.0315, val: psnr=30.2065, 40.1s 1.8h/11.2h
epoch 162/1000, train: loss=0.0314, val: psnr=30.0227, 39.0s 1.8h/11.2h
epoch 163/1000, train: loss=0.0317, val: psnr=29.8521, 39.8s 1.8h/11.2h
epoch 164/1000, train: loss=0.0317, val: psnr=30.0707, 40.4s 1.8h/11.2h
epoch 165/1000, train: loss=0.0310, val: psnr=29.5219, 40.9s 1.9h/11.2h
epoch 166/1000, train: loss=0.0311, val: psnr=29.7832, 40.2s 1.9h/11.2h
epoch 167/1000, train: loss=0.0317, val: psnr=30.0868, 40.3s 1.9h/11.2h
epoch 168/1000, train: loss=0.0317, val: psnr=29.8656, 40.6s 1.9h/11.2h
epoch 169/1000, train: loss=0.0317, val: psnr=29.7881, 40.3s 1.9h/11.2h
epoch 170/1000, train: loss=0.0319, val: psnr=29.8918, 40.6s 1.9h/11.2h
epoch 171/1000, train: loss=0.0313, val: psnr=29.6503, 40.6s 1.9h/11.2h
epoch 172/1000, train: loss=0.0312, val: psnr=29.7935, 40.8s 1.9h/11.2h
epoch 173/1000, train: loss=0.0315, val: psnr=29.9418, 40.7s 1.9h/11.2h
epoch 174/1000, train: loss=0.0316, val: psnr=30.0455, 39.2s 2.0h/11.2h
epoch 175/1000, train: loss=0.0313, val: psnr=29.8659, 39.6s 2.0h/11.2h
epoch 176/1000, train: loss=0.0315, val: psnr=30.0518, 40.4s 2.0h/11.2h
epoch 177/1000, train: loss=0.0319, val: psnr=29.9476, 40.3s 2.0h/11.2h
epoch 178/1000, train: loss=0.0311, val: psnr=29.9837, 40.8s 2.0h/11.2h
epoch 179/1000, train: loss=0.0316, val: psnr=29.7404, 40.3s 2.0h/11.2h
epoch 180/1000, train: loss=0.0316, val: psnr=30.0729, 40.1s 2.0h/11.2h
epoch 181/1000, train: loss=0.0315, val: psnr=29.8559, 40.8s 2.0h/11.2h
epoch 182/1000, train: loss=0.0318, val: psnr=29.6088, 41.0s 2.0h/11.2h
epoch 183/1000, train: loss=0.0314, val: psnr=29.6030, 40.5s 2.1h/11.2h
epoch 184/1000, train: loss=0.0314, val: psnr=29.9934, 40.0s 2.1h/11.2h
epoch 185/1000, train: loss=0.0317, val: psnr=29.8618, 40.3s 2.1h/11.2h
epoch 186/1000, train: loss=0.0317, val: psnr=29.9932, 40.4s 2.1h/11.2h
epoch 187/1000, train: loss=0.0316, val: psnr=29.9615, 40.8s 2.1h/11.2h
epoch 188/1000, train: loss=0.0315, val: psnr=29.7672, 39.9s 2.1h/11.2h
epoch 189/1000, train: loss=0.0314, val: psnr=29.7201, 40.1s 2.1h/11.2h
epoch 190/1000, train: loss=0.0315, val: psnr=29.7265, 40.3s 2.1h/11.2h
epoch 191/1000, train: loss=0.0313, val: psnr=29.9557, 40.0s 2.1h/11.2h
