model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
SC-INR-NoPhi,bsd100,103070.png,x4,30.661200817101,0.8878338139243923,0.029304880796764684,0.050896212458610535,0.05392257124185562,0.005455902777612209,0.08079785853624344,8.413229420433567e-09,1.275819668221014e-08,1.9986640525800523e-09
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,30.67670936608056,0.887764828406119,0.029252603976697312,0.0507354736328125,0.053774911910295486,0.005471321754157543,0.08059710264205933,8.532525128205443e-09,1.2685983533058146e-08,1.9880306288181425e-09
SC-INR,bsd100,103070.png,x4,30.676662690454854,0.8882905946117629,0.02925276117271516,0.050710201263427734,0.05372093245387077,0.005451228003948927,0.08062644302845001,8.55825214282204e-09,1.2674305594731084e-08,1.991137379222969e-09
SC-INR-NoSinc,bsd100,103070.png,x4,30.637772413577093,0.8877544670699313,0.029384031392778405,0.05108309164643288,0.054166801273822784,0.005463764537125826,0.0814766138792038,8.277447527517658e-09,1.280403730409235e-08,2.0421411598876283e-09
Bicubic,bsd100,103070.png,x8,26.51992698519582,0.6826267095670229,0.04720670095082751,0.07586407661437988,0.08551137894392014,0.012736030854284763,0.08628462255001068,1.2671431405877515e-07,1.7328101661444098e-08,2.255722259564119e-09
LTE,bsd100,103070.png,x8,27.553873695750696,0.7409899209692947,0.04190890514662081,0.06918271631002426,0.07486436516046524,0.009993385523557663,0.08555775880813599,8.25252972313587e-08,1.6642674770563604e-08,2.2478294161570686e-09
SC-INR-NoPhi,bsd100,103070.png,x8,27.57826453058433,0.7409923396839856,0.041791385887357396,0.06883566826581955,0.07450596243143082,0.009953025728464127,0.08566366136074066,8.155124921478101e-08,1.6627348780001525e-08,2.2543405707235532e-09
SC-INR-NoPhi-Signed,bsd100,103070.png,x8,27.605631608496132,0.742153744455392,0.04165991884343659,0.0686430111527443,0.07427135109901428,0.009915699250996113,0.08551709353923798,8.061347164800515e-08,1.6610374531676226e-08,2.24443991740586e-09
SC-INR,bsd100,103070.png,x8,27.56841596390379,0.7422680200534819,0.041838798264857466,0.06896361708641052,0.07450585812330246,0.009956126101315022,0.08560660481452942,8.187071281994049e-08,1.6652192292110083e-08,2.2505988358798802e-09
SC-INR-NoSinc,bsd100,103070.png,x8,27.560718648632697,0.7420461043208393,0.04187589166264823,0.06901377439498901,0.074795663356781,0.010002920404076576,0.08588536083698273,8.109323433119674e-08,1.6890102185387812e-08,2.2542879970276024e-09
