model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LTE,bsd100,108005.png,x8,22.783202167770998,0.5645281546693798,0.07258383182349165,0.11493772268295288,0.12999247014522552,0.02207895927131176,0.12753526866436005,2.717876954784357e-07,4.9220952556943875e-08,4.311538893284175e-09
LTE-EQ,bsd100,108005.png,x8,22.787864365225673,0.5647632394603967,0.07254488251981867,0.11499109864234924,0.13011179864406586,0.02188033051788807,0.12753674387931824,2.713575263294346e-07,4.919186615025673e-08,4.310727590167063e-09
LTE-NoCell,bsd100,108005.png,x8,22.848272310826857,0.5667231402557055,0.07204210341827968,0.11387546360492706,0.12933355569839478,0.021730253472924232,0.12758386135101318,2.640468435190526e-07,4.919661677713353e-08,4.3114490175004515e-09
LTE-FeaturePhase,bsd100,108005.png,x8,22.877588632644404,0.5678566620358705,0.07179935922154117,0.11335577815771103,0.1286705583333969,0.021664239466190338,0.1275746375322342,2.605945566814882e-07,4.918534056607425e-08,4.311913165322496e-09
SC-INR-Fixed,bsd100,108005.png,x8,22.816858330509607,0.5677605866587052,0.07230312753269218,0.11458782851696014,0.12958312034606934,0.021638628095388412,0.12752948701381683,2.68413101904579e-07,4.9066445738610934e-08,4.309920093188121e-09
SC-INR-Adaptive,bsd100,108005.png,x8,22.81705988295868,0.5681594782483167,0.07230144978821698,0.11478398740291595,0.12990108132362366,0.021783391013741493,0.12758561968803406,2.678089483129979e-07,4.9195302125520385e-08,4.310793421077713e-09
Bicubic,bsd100,108005.png,x16,20.2677104736979,0.3071252923849771,0.09696488267640908,0.1354740560054779,0.1639300435781479,0.04558531567454338,0.13243459165096283,7.282205109120183e-07,5.808506554575538e-08,5.076061938202645e-09
LIIF,bsd100,108005.png,x16,20.669504395674842,0.3474506908118369,0.09258162093503162,0.13344863057136536,0.1586158126592636,0.03628309816122055,0.13240109384059906,6.3729420590667e-07,5.806875772565177e-08,5.070150819429244e-09
LIIF-EQ,bsd100,108005.png,x16,20.68163315248548,0.34774476830783574,0.09245243251767489,0.13346228003501892,0.1582581251859665,0.036127638071775436,0.13238465785980225,6.347272409583211e-07,5.805418039439391e-08,5.071541805728792e-09
LTE,bsd100,108005.png,x16,20.645211005673644,0.34545143204254164,0.09284092305764191,0.13428173959255219,0.15954403579235077,0.03604310750961304,0.13240741193294525,6.425456255989182e-07,5.806808618008494e-08,5.072533452846306e-09
LTE-EQ,bsd100,108005.png,x16,20.6614257169397,0.344710728969706,0.09266777044148897,0.13407357037067413,0.1593846082687378,0.03622222691774368,0.13238690793514252,6.392641442772332e-07,5.8012116032035144e-08,5.0736644662122745e-09
LTE-NoCell,bsd100,108005.png,x16,20.674071798478305,0.3466032425168865,0.0925329504575049,0.13344921171665192,0.15877477824687958,0.03686472401022911,0.13239619135856628,6.363498099591666e-07,5.805624638345351e-08,5.07161168287879e-09
LTE-FeaturePhase,bsd100,108005.png,x16,20.66420978725107,0.34434479553556313,0.09263807259168928,0.1330929398536682,0.15874697268009186,0.03717803582549095,0.1323976218700409,6.384871052949163e-07,5.805225366453875e-08,5.073193382651206e-09
SC-INR-Fixed,bsd100,108005.png,x16,20.654467461261067,0.346927822817309,0.09274203622339865,0.13385240733623505,0.15906761586666107,0.03612222522497177,0.13240419328212738,6.404676624398313e-07,5.8083441565492844e-08,5.0723828139364435e-09
SC-INR-Adaptive,bsd100,108005.png,x16,20.679522232496915,0.3485066349151323,0.09247490383754484,0.1334621012210846,0.15871277451515198,0.036012470722198486,0.13240627944469452,6.351873864107278e-07,5.8048866672568264e-08,5.073710285813103e-09
Bicubic,bsd100,108005.png,x30,18.567200878272228,0.22682631209201684,0.11793425178729623,0.15315306186676025,0.18914787471294403,0.07606445997953415,0.1401015818119049,1.5141596847659756e-06,8.531876000685068e-08,7.299602804370473e-09
