model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LIIF-EQ,bsd100,103070.png,x30,x4,47.390654356950705,0.004270387469967058,0.007595163770020008,0.007160347420722246,0.001641708193346858
LTE,bsd100,103070.png,x30,x4,43.20784819675336,0.006912061444985682,0.009514573961496353,0.008932296186685562,0.00546866562217474
LTE-EQ,bsd100,103070.png,x30,x4,45.20658365549303,0.005491244954410958,0.009429948404431343,0.009491446428000927,0.0025530047714710236
LTE-NoCell,bsd100,103070.png,x30,x4,70.00580800246192,0.00031601638436233115,0.0005709304241463542,0.0005024963757023215,0.00011475297651486471
LTE-FeaturePhase,bsd100,103070.png,x30,x4,70.35529661118281,0.0003035534474016017,0.0005327890976332128,0.00047209227341227233,0.00011543141590664163
SC-INR-Fixed,bsd100,103070.png,x30,x4,51.72161087956039,0.0025936982918773705,0.0034639742225408554,0.003535657422617078,0.0018552338005974889
SC-INR-Adaptive,bsd100,103070.png,x30,x4,53.9904466580157,0.001997458049708532,0.003396698273718357,0.0036042598076164722,0.000918086152523756
LIIF,bsd100,105025.png,x8,x4,51.38409742001956,0.0026964671200837747,0.004926465451717377,0.004673896823078394,0.0007040001801215112
LIIF-EQ,bsd100,105025.png,x8,x4,51.5475859685747,0.002646188036034239,0.004886694718152285,0.004674539901316166,0.0007874668808653951
LTE,bsd100,105025.png,x8,x4,52.94019794873053,0.0022541878393254255,0.003811167785897851,0.00392994424328208,0.0005135879619047046
LTE-EQ,bsd100,105025.png,x8,x4,53.558237207812674,0.0020993659044991216,0.0034190232399851084,0.0035998905077576637,0.0005248926463536918
LTE-NoCell,bsd100,105025.png,x8,x4,65.62587297829344,0.0005232465229688391,0.0009175797458738089,0.0009446064941585064,9.661741933086887e-05
LTE-FeaturePhase,bsd100,105025.png,x8,x4,65.32824326340594,0.0005414867534653238,0.0009443787857890129,0.0009704125695861876,0.00010609894525259733
SC-INR-Fixed,bsd100,105025.png,x8,x4,55.7069466558883,0.0016392782142227024,0.003057424444705248,0.0030010149348527193,0.00031386257614940405
SC-INR-Adaptive,bsd100,105025.png,x8,x4,56.800636002799855,0.0014453339358662012,0.0028250673785805702,0.002804126823320985,0.00022861306206323206
LIIF,bsd100,105025.png,x16,x4,45.564414435282615,0.005269619751307055,0.009264444932341576,0.007586147636175156,0.001914839493110776
LIIF-EQ,bsd100,105025.png,x16,x4,44.74845689189906,0.00578864818535394,0.010106272995471954,0.008368276059627533,0.0020552542991936207
LTE,bsd100,105025.png,x16,x4,43.412376727782046,0.006751202949457405,0.010624829679727554,0.008863827213644981,0.0022092624567449093
LTE-EQ,bsd100,105025.png,x16,x4,44.98043864298115,0.005636091924826165,0.00936677772551775,0.008274594321846962,0.0017470904858782887
LTE-NoCell,bsd100,105025.png,x16,x4,73.11227752269372,0.00022099687055532875,0.0004057219484820962,0.0003642291121650487,4.7771460231160745e-05
LTE-FeaturePhase,bsd100,105025.png,x16,x4,73.29010978746186,0.00021651825117722316,0.00040814277599565685,0.0003749714232981205,4.687897671828978e-05
SC-INR-Fixed,bsd100,105025.png,x16,x4,50.160048844363054,0.003104542129950138,0.00570127135142684,0.004781001713126898,0.0008206424536183476
SC-INR-Adaptive,bsd100,105025.png,x16,x4,51.0506585562592,0.0028019931690370535,0.005074439570307732,0.004517629276961088,0.0005883959820494056
LIIF,bsd100,105025.png,x30,x4,44.41508715781532,0.006015138646593922,0.009817160665988922,0.0058995625004172325,0.003674638457596302
LIIF-EQ,bsd100,105025.png,x30,x4,43.44988902775285,0.006722108973253723,0.011129637248814106,0.006762961857020855,0.0035407310351729393
LTE,bsd100,105025.png,x30,x4,41.51802735442076,0.008396506572688723,0.011683831922709942,0.00659056706354022,0.005772043485194445
LTE-EQ,bsd100,105025.png,x30,x4,42.39751056539007,0.007587950196425093,0.01150426734238863,0.006987585220485926,0.0038277653511613607
LTE-NoCell,bsd100,105025.png,x30,x4,68.10669801873176,0.00039324671105831144,0.0006879406864754856,0.0003072304534725845,0.00014335522428154945
LTE-FeaturePhase,bsd100,105025.png,x30,x4,68.23864991035859,0.00038731784291998547,0.0006686596316285431,0.000306545989587903,0.0001483470987295732
SC-INR-Fixed,bsd100,105025.png,x30,x4,50.73266584923949,0.0029064757750266175,0.004558722022920847,0.0025698209647089243,0.001344444346614182
SC-INR-Adaptive,bsd100,105025.png,x30,x4,51.5609252813084,0.0026421272845757885,0.004767247475683689,0.002072805305942893,0.0010694199008867145
LIIF,bsd100,106024.png,x8,x4,53.82334425857486,0.0020362579226649805,0.00421872129663825,0.004308613948523998,0.0004332352546043694
LIIF-EQ,bsd100,106024.png,x8,x4,51.913688573448,0.002536971400020226,0.005265682470053434,0.005408005323261023,0.0006721431855112314
LTE,bsd100,106024.png,x8,x4,52.37236124730003,0.0024064782322819967,0.004846297204494476,0.005080774892121553,0.0005147658521309495
LTE-EQ,bsd100,106024.png,x8,x4,54.793478162054285,0.001821067701986076,0.0035552300978451967,0.003783364314585924,0.00046728039160370827
LTE-NoCell,bsd100,106024.png,x8,x4,67.43795676086232,0.0004247194617577512,0.0008325534290634096,0.0008645905763842165,0.0001620807743165642
LTE-FeaturePhase,bsd100,106024.png,x8,x4,67.37705766593328,0.0004277077470697647,0.0008228045189753175,0.0008504902361892164,0.00020375427266117185
