model,path_type,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
LTE,cell_conditioned_phase,bsd100,105025.png,x4,1,30.8493845932283,0.028676805473442618,0.0,0.0,0.0,False,0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22423985600471497,0.0
LTE,cell_conditioned_phase,bsd100,105025.png,x4,2,35.45865954984852,0.0168681332281433,0.016681404784321785,0.0018829184118658304,0.01681702397763729,False,0,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22718685865402222,0.07436409592628479
LTE,cell_conditioned_phase,bsd100,105025.png,x4,4,35.39922512839692,0.016983951601984165,0.026563070714473724,0.013533882796764374,0.027348680421710014,False,0,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21488222479820251,0.09174942970275879
LTE-NoCellPhase,no_phase,bsd100,105025.png,x4,1,30.723550681242074,0.02909527497086333,0.0,0.0,0.0,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18989761173725128,0.0
LTE-NoCellPhase,no_phase,bsd100,105025.png,x4,2,35.40667363709518,0.016969393405836974,0.01681702397763729,0.0,0.01681702397763729,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18989761173725128,0.0
LTE-NoCellPhase,no_phase,bsd100,105025.png,x4,4,38.41381966272572,0.012003530957501346,0.027348680421710014,0.0,0.027348680421710014,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18989761173725128,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,105025.png,x4,1,30.731000480222413,0.02907033094882508,0.0,0.0,0.0,False,0,nan,nan,0.09196785092353821,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1971282958984375,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,105025.png,x4,2,35.444068284728814,0.016896493506999597,0.01681702397763729,0.0,0.01681702397763729,False,0,nan,nan,0.09196785092353821,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1971282958984375,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,105025.png,x4,4,38.65358561439909,0.011676716048756268,0.027348680421710014,0.0,0.027348680421710014,False,0,nan,nan,0.09196785092353821,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1971282958984375,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,105025.png,x4,1,30.778394948929417,0.02891214095640091,0.0,0.0,0.0,False,0,nan,nan,nan,nan,0.9645402431488037,0.9645402431488037,0.0,0.9645402431488037,0.9645402431488037,0.0,0.0,0.4988182485103607,0.0,0.9336956143379211,0.32454928755760193,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,105025.png,x4,2,35.316316934709754,0.017146842284670623,0.016704121604561806,0.0015825567534193397,0.01681702397763729,False,0,nan,nan,nan,nan,0.8746167421340942,0.8746167421340942,0.0,0.8746167421340942,0.8746167421340942,0.0,0.1591336578130722,0.4541057348251343,0.0986846461892128,0.8006219863891602,0.2938634753227234,0.06929987668991089
SC-INR-NoPhi,analytic_sinc_response,bsd100,105025.png,x4,4,36.42060848222667,0.015099743705554627,0.026202194392681122,0.011245344765484333,0.027348680421710014,False,0,nan,nan,nan,nan,0.670385479927063,0.7071949243545532,0.135955810546875,0.670385479927063,0.7071949243545532,0.135955810546875,0.4411246180534363,0.3639933168888092,0.27592435479164124,0.5942889451980591,0.23190484941005707,0.19408734142780304
SC-INR,analytic_sinc_response,bsd100,105025.png,x4,1,30.682428265946157,0.029233350030563644,0.0,0.0,0.0,False,0,nan,nan,0.03755217045545578,0.0,0.9605231285095215,0.9605231285095215,0.0,0.9605231285095215,0.9605231285095215,0.0,0.0,0.25106263160705566,0.0,0.9274677634239197,0.1539892554283142,0.0
SC-INR,analytic_sinc_response,bsd100,105025.png,x4,2,35.27071834378163,0.017237095302442308,0.016731372103095055,0.0013523459201678634,0.01681702397763729,False,0,nan,nan,0.03755217045545578,0.0,0.8660640716552734,0.8660640716552734,0.0,0.8660640716552734,0.8660640716552734,0.0,0.1742229163646698,0.22352950274944305,0.06949175894260406,0.7964776158332825,0.13525474071502686,0.04891516640782356
SC-INR,analytic_sinc_response,bsd100,105025.png,x4,4,35.64120683074136,0.016517322880842202,0.026895759627223015,0.01181140448898077,0.027348680421710014,False,0,nan,nan,0.03755217045545578,0.0,0.6800147891044617,0.7155757546424866,0.11810302734375,0.6800147891044617,0.7155757546424866,0.11810302734375,0.4326326549053192,0.18058732151985168,0.16817651689052582,0.6135897040367126,0.10564550012350082,0.11945455521345139
SC-INR-NoSinc,no_sinc_response,bsd100,105025.png,x4,1,30.728898083321585,0.02907736819814405,0.0,0.0,0.0,False,0,nan,nan,0.034186311066150665,0.0,0.9670960903167725,0.9670960903167725,0.0,1.0,1.0,0.0,0.0,0.28903526067733765,0.0,1.0,0.1832979917526245,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,105025.png,x4,2,35.35965516439309,0.017061501229554334,0.01681702397763729,0.0,0.01681702397763729,False,0,nan,nan,0.034186311066150665,0.0,0.8954721689224243,0.8974859714508057,0.03125,1.0,1.0,0.0,0.0,0.28903526067733765,0.0,1.0,0.1832979917526245,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,105025.png,x4,4,38.34458076930286,0.012099598559566403,0.027348680421710014,0.0,0.027348680421710014,False,0,nan,nan,0.034186311066150665,0.0,0.7593124508857727,0.773945689201355,0.062896728515625,1.0,1.0,0.0,0.0,0.28903526067733765,0.0,1.0,0.1832979917526245,0.0
LTE,cell_conditioned_phase,urban100,img_001.png,x4,1,30.13979242575493,0.031117907013812375,0.0,0.0,0.0,False,0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20261336863040924,0.0
LTE,cell_conditioned_phase,urban100,img_001.png,x4,2,36.837985903911836,0.014391322475421141,0.021572217345237732,0.005252624861896038,0.022904565557837486,False,0,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20518901944160461,0.07147618383169174
LTE,cell_conditioned_phase,urban100,img_001.png,x4,4,36.18857043487627,0.01550856013066313,0.03155289590358734,0.017109043896198273,0.033936239778995514,False,0,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19682008028030396,0.08222003281116486
LTE-NoCellPhase,no_phase,urban100,img_001.png,x4,1,29.885771624774748,0.032041395211870716,0.0,0.0,0.0,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1791677474975586,0.0
