model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
SC-INR-NoPhi-Signed,bsd100,109053.png,x30,x4,55.75385943581486,0.0016304482846949612,0.0019534798339009285,0.0012924105394631624,0.0014903079718351364
SC-INR,bsd100,109053.png,x30,x4,56.490899190885045,0.0014978041875714822,0.00194728362839669,0.0012972380500286818,0.0011369747808203101
LTE,urban100,img_001.png,x8,x4,44.1430256420752,0.006206527984262078,0.011727677658200264,0.011906281113624573,0.000720041454769671
SC-INR-NoPhi,urban100,img_001.png,x8,x4,48.33216333076622,0.0038317029510217425,0.007536894641816616,0.007809208240360022,0.000279455998679623
SC-INR-NoPhi-Signed,urban100,img_001.png,x8,x4,48.971227113079664,0.0035599069332331507,0.00718166958540678,0.007366585545241833,0.00027597506414167583
SC-INR,urban100,img_001.png,x8,x4,48.39191132908084,0.0038054360980678,0.0076118395663797855,0.007817561738193035,0.00029452613671310246
LTE,urban100,img_001.png,x16,x4,38.942805079422754,0.01129431109716343,0.018844028934836388,0.018991582095623016,0.0016374478582292795
SC-INR-NoPhi,urban100,img_001.png,x16,x4,49.20429980615217,0.0034656524658203125,0.006306916009634733,0.006540647707879543,0.00044061720836907625
SC-INR-NoPhi-Signed,urban100,img_001.png,x16,x4,49.48522964333478,0.0033553553252317465,0.006339958868920803,0.006405015010386705,0.0003887919301632792
SC-INR,urban100,img_001.png,x16,x4,49.13140177043752,0.003494861033072893,0.0064804223366081715,0.006539362948387861,0.00043247727444395423
LTE,urban100,img_001.png,x30,x4,35.66146280855328,0.01647884844476308,0.025264859199523926,0.026762830093503,0.004282038658857346
SC-INR-NoPhi,urban100,img_001.png,x30,x4,48.13880593748777,0.003917957341636553,0.006867126561701298,0.007592465728521347,0.000630875991191715
SC-INR-NoPhi-Signed,urban100,img_001.png,x30,x4,48.21274546943602,0.003884746879713532,0.007218220736831427,0.007482932880520821,0.0007189990137703717
SC-INR,urban100,img_001.png,x30,x4,47.95149607974683,0.004003365074123616,0.007338740397244692,0.007528194226324558,0.0008242143667303026
LTE,urban100,img_002.png,x8,x4,43.17866923691528,0.006935320537582022,0.011329482309520245,0.010535777546465397,0.0017504040151834488
SC-INR-NoPhi,urban100,img_002.png,x8,x4,48.492608264512995,0.003761573799287471,0.006891937926411629,0.006547928787767887,0.000580873223952949
SC-INR-NoPhi-Signed,urban100,img_002.png,x8,x4,50.091366168306294,0.0031291882555428067,0.00586481811478734,0.005479215178638697,0.000459527422208339
SC-INR,urban100,img_002.png,x8,x4,48.62350856805814,0.003705310196844932,0.006499074399471283,0.0061478265561163425,0.0006609015399590135
LTE,urban100,img_002.png,x16,x4,34.61210158107869,0.018594945976317515,0.029359454289078712,0.02574138157069683,0.006361059844493866
SC-INR-NoPhi,urban100,img_002.png,x16,x4,43.44443581687506,0.006726330600376531,0.011978319846093655,0.010540184564888477,0.0016572402091696858
SC-INR-NoPhi-Signed,urban100,img_002.png,x16,x4,45.090784247825155,0.005564943861854134,0.010020723566412926,0.009128198958933353,0.0013572069583460689
SC-INR,urban100,img_002.png,x16,x4,43.14023302289101,0.006966078254382683,0.011978519149124622,0.011563429608941078,0.001614028587937355
LTE,urban100,img_002.png,x30,x4,31.206919858497525,0.027520353433240913,0.04492976889014244,0.04259746894240379,0.01143898069858551
SC-INR-NoPhi,urban100,img_002.png,x30,x4,40.45901915795254,0.009485255681884408,0.01680268533527851,0.01705889031291008,0.0027163405902683735
SC-INR-NoPhi-Signed,urban100,img_002.png,x30,x4,43.237591444393395,0.006888432828072195,0.012350546196103096,0.012095529586076736,0.0016504466766491532
SC-INR,urban100,img_002.png,x30,x4,40.21293531582232,0.009757829699026783,0.016987696290016174,0.017447112128138542,0.0028728328179568052
LTE,urban100,img_003.png,x8,x4,43.79384680973065,0.0064611178042193185,0.010705888271331787,0.010841920040547848,0.002119295299053192
SC-INR-NoPhi,urban100,img_003.png,x8,x4,48.68162963656593,0.0036805991218917125,0.006874350365251303,0.0067239608615636826,0.0006735450006090105
