model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LIIF,urban100,x16,10,20.287582019598577,nan,0.10247152922564448,0.1588058166205883,0.18002616241574287,0.031121913623064757,0.1803519293665886,1.5165379720514965e-07,1.5912213103618284e-08,2.4537766467625255e-09
LIIF,urban100,x30,10,18.592852604365035,nan,0.12357078220402669,0.17612550184130668,0.20201098546385765,0.05795397316105664,0.1825350381433964,2.726331836084422e-07,1.768619389674945e-08,2.7491072173454784e-09
LIIF,urban100,x4,10,26.45899855066491,nan,0.05141709487670025,0.08833938725292682,0.09246413335204125,0.00864789925981313,0.16150248274207116,3.3572609348688515e-09,8.762946400603117e-09,2.035067101141941e-09
LIIF,urban100,x8,10,22.71695201028887,nan,0.07777893755497423,0.13148463368415833,0.14312560185790063,0.01356515910010785,0.17787813283503057,5.172098016719761e-08,1.4438283092198096e-08,2.289821035162297e-09
LTE,bsd100,x16,10,22.767463576778503,nan,0.07500407541690177,0.1183887965977192,0.1338248185813427,0.020195086335297673,0.13386631272733213,3.87530520523054e-07,4.540616316554717e-08,6.973713649290561e-09
LTE,bsd100,x30,10,20.6857710895601,nan,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.03863812116906047,0.1370385240763426,9.340732111428898e-07,6.208464673686393e-08,9.473524079046405e-09
LTE,bsd100,x4,10,27.668294135499377,nan,0.04382540219110174,0.07488756775856018,0.07857081405818463,0.008135145116830245,0.12532465793192388,1.755500271426787e-08,3.081281217173331e-08,5.699846807438333e-09
LTE,bsd100,x8,10,24.96631074557208,nan,0.059010446044027574,0.09882091209292412,0.10762063451111317,0.011335928266635164,0.13085285164415836,1.4914571783014418e-07,3.903809645150338e-08,6.183000300991588e-09
LTE,urban100,x16,10,20.240715072717244,nan,0.10280197414954151,0.15957849025726317,0.18102702498435974,0.030044808029197158,0.1803485095500946,1.5204669403663795e-07,1.5911936031693455e-08,2.4532726113397683e-09
LTE,urban100,x30,10,18.57450380200926,nan,0.12377419212849113,0.1760892890393734,0.20197343751788138,0.058611170016229154,0.18253146931529046,2.734710012856072e-07,1.7684959097955826e-08,2.7489212459431237e-09
LTE,urban100,x4,10,26.568639910243775,nan,0.05082487665225059,0.08718564622104168,0.09099666401743889,0.008609347115270793,0.1601581059396267,3.3072064370889323e-09,8.59124493807277e-09,2.0097479355675783e-09
LTE,urban100,x8,10,22.720312690132523,nan,0.07770252734738592,0.1313483990728855,0.14308241233229638,0.013666974799707531,0.17774809375405312,5.184799115626656e-08,1.4334731464547015e-08,2.2874887110986693e-09
LTE-FeaturePhase,bsd100,x16,10,22.769628414146453,nan,0.07492984059971394,0.11768789514899254,0.13367821276187897,0.020729600149206818,0.1338849302381277,3.853545672719579e-07,4.544464885640348e-08,6.972790301316304e-09
LTE-FeaturePhase,bsd100,x30,10,20.75737592290114,nan,0.09342760837047429,0.13499388620257377,0.1562441796064377,0.039455771632492545,0.13703228235244752,9.133021055813345e-07,6.209954092029659e-08,9.476982074600892e-09
LTE-FeaturePhase,bsd100,x4,10,27.617473184069894,nan,0.044022858068924885,0.07531949132680893,0.07920383289456367,0.008137467320193537,0.12611645869910718,1.6867071248336204e-08,3.116120562931113e-08,5.769532127497397e-09
