model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
SC-INR-Adaptive,urban100,img_005.png,x30,16.69865456829449,nan,0.14624036811223864,0.24257442355155945,0.26121842861175537,0.0507621206343174,0.15244005620479584,3.823417763734749e-07,1.4146983512972165e-08,1.3089570193000265e-09
Bicubic,urban100,img_006.png,x4,20.59030056561997,nan,0.09342970373806021,0.15141181647777557,0.1764725148677826,0.022154441103339195,0.2642495930194855,1.3167262459132628e-08,1.8230211855198957e-08,2.92361044872944e-09
LIIF,urban100,img_006.png,x4,22.64903892675165,nan,0.07371367332706208,0.1166616678237915,0.13151679933071136,0.020462464541196823,0.24825863540172577,1.4006377629228873e-09,1.0964133916574246e-08,2.7968610513630316e-09
LTE,urban100,img_006.png,x4,22.700179258994346,nan,0.07328094092956632,0.11594096571207047,0.1303713619709015,0.02041924186050892,0.2476174235343933,1.507748147610519e-09,1.0749273334826774e-08,2.7941059998318002e-09
LTE-NoCell,urban100,img_006.png,x4,22.613101017257186,nan,0.07401929582065869,0.11755897104740143,0.13265731930732727,0.020410727709531784,0.24982216954231262,1.404748059075475e-09,1.1036715485337979e-08,2.8304246698429893e-09
LTE-FeaturePhase,urban100,img_006.png,x4,22.598734026315896,nan,0.0741418295592606,0.11775030195713043,0.1326725333929062,0.020478224381804466,0.24976776540279388,1.3833459351820624e-09,1.1128156421254471e-08,2.8147780406154634e-09
SC-INR-Fixed,urban100,img_006.png,x4,22.61092229457099,nan,0.07403786475869255,0.11717971414327621,0.13193242251873016,0.02050330862402916,0.2493358850479126,1.4619199666518909e-09,1.1060103254570886e-08,2.816241664031684e-09
SC-INR-Adaptive,urban100,img_006.png,x4,22.662195460672322,nan,0.07360210360154124,0.11627186089754105,0.13129597902297974,0.020397353917360306,0.2482093870639801,1.401758412670656e-09,1.0896620507715663e-08,2.8053269759540293e-09
Bicubic,urban100,img_006.png,x8,19.11359967055521,nan,0.11074395169933463,0.1729721575975418,0.20613616704940796,0.028281470760703087,0.2660745680332184,5.864341407605832e-08,1.9398071368473204e-08,2.9783235940220377e-09
LIIF,urban100,img_006.png,x8,19.83566581198231,nan,0.10190997836730468,0.16317221522331238,0.1900903582572937,0.025347396731376648,0.2653338313102722,3.4470745471504595e-08,1.8950564939973285e-08,2.978871498576485e-09
LTE,urban100,img_006.png,x8,19.854189696842813,nan,0.10169287254997537,0.16298677027225494,0.1898769736289978,0.02529291622340679,0.26542365550994873,3.375733531116369e-08,1.897051709888418e-08,2.97993596840715e-09
LTE-NoCell,urban100,img_006.png,x8,19.80807856542248,nan,0.10223416911982917,0.1635783314704895,0.19105353951454163,0.02536015957593918,0.2653988301753998,3.5043618468335584e-08,1.9031061506734585e-08,2.9778260956668485e-09
LTE-FeaturePhase,urban100,img_006.png,x8,19.78969557036323,nan,0.10245076874022874,0.16389456391334534,0.19143711030483246,0.025551479309797287,0.2654757797718048,3.5415489447201695e-08,1.9086600343664758e-08,2.9776680426422296e-09
SC-INR-Fixed,urban100,img_006.png,x8,19.834175644870196,nan,0.10192746372944615,0.16302187740802765,0.18990468978881836,0.025424592196941376,0.26541316509246826,3.456792117977376e-08,1.8938430480313178e-08,2.979601639275872e-09
SC-INR-Adaptive,urban100,img_006.png,x8,19.861446619778228,nan,0.10160794525161276,0.16253800690174103,0.18963658809661865,0.025103021413087845,0.26531606912612915,3.357177102051999e-08,1.8960126142179033e-08,2.9789404812150242e-09
Bicubic,urban100,img_006.png,x16,17.892853120261965,nan,0.12745513695890387,0.18530654907226562,0.22272716462612152,0.06108535826206207,0.26648926734924316,1.1741606869447954e-07,2.0085844419022943e-08,3.0858818984433523e-09
LIIF,urban100,img_006.png,x16,18.225557837622517,nan,0.12266540812058059,0.1861315369606018,0.2202441394329071,0.04582146182656288,0.2664966285228729,1.0022407561970233e-07,2.0079950055647715e-08,3.085282688330647e-09
LTE,urban100,img_006.png,x16,18.218287327144406,nan,0.12276812799535326,0.185581773519516,0.21991826593875885,0.048440732061862946,0.26649221777915955,1.0054890231865535e-07,2.0088533043977516e-08,3.0852224888916697e-09
LTE-NoCell,urban100,img_006.png,x16,18.254850703475316,nan,0.12225242001092386,0.18471017479896545,0.2194049209356308,0.04717765375971794,0.26648014783859253,9.874444280666053e-08,2.008608257792655e-08,3.0850756221559133e-09
LTE-FeaturePhase,urban100,img_006.png,x16,18.270516777770894,nan,0.12203212140611076,0.18461471796035767,0.21928344666957855,0.04674715921282768,0.2664715647697449,9.797983341576582e-08,2.008431564917776e-08,3.084935356474936e-09
SC-INR-Fixed,urban100,img_006.png,x16,18.152303501416323,nan,0.12370430821085021,0.18621213734149933,0.2204139232635498,0.050942230969667435,0.2665126919746399,1.0383424632316067e-07,2.009555723164737e-08,3.0853096509980905e-09
SC-INR-Adaptive,urban100,img_006.png,x16,18.237001221108812,nan,0.12250390675455547,0.18555717170238495,0.2199617326259613,0.04651506245136261,0.2664988934993744,9.960229148769677e-08,2.009192181823628e-08,3.0852046723721095e-09
Bicubic,urban100,img_006.png,x30,16.7621439479312,nan,0.14517532354719193,0.19511404633522034,0.234324112534523,0.10359504818916321,0.2678384482860565,1.9824654419727548e-07,2.1689243852858113e-08,3.3352020261112444e-09
LIIF,urban100,img_006.png,x30,16.88164254509336,nan,0.14319170909982457,0.19999903440475464,0.23771189153194427,0.0930742621421814,0.2678432762622833,1.8946190338655955e-07,2.168909686530855e-08,3.3349999193007183e-09
LTE,urban100,img_006.png,x30,16.839128581919773,nan,0.14389429339917792,0.2003026157617569,0.23818159103393555,0.0964353010058403,0.2678344249725342,1.9258029069795627e-07,2.16855850718955e-08,3.3345092255466097e-09
LTE-NoCell,urban100,img_006.png,x30,16.916033314111722,nan,0.14262587910280097,0.19646869599819183,0.2345554381608963,0.09633918851613998,0.26783373951911926,1.870062404344314e-07,2.168363165930628e-08,3.334498614948933e-09
LTE-FeaturePhase,urban100,img_006.png,x30,17.011780280609095,nan,0.14106230821626037,0.19538317620754242,0.23367898166179657,0.09347137063741684,0.2678331732749939,1.8018571121838548e-07,2.168501672233792e-08,3.3345476994820715e-09
SC-INR-Fixed,urban100,img_006.png,x30,16.849646058712754,nan,0.14372016166869622,0.19860735535621643,0.2362058460712433,0.09752912074327469,0.26784107089042664,1.9180820576554027e-07,2.1685794457078182e-08,3.334714580916088e-09
SC-INR-Adaptive,urban100,img_006.png,x30,17.019483531920333,nan,0.14093725980497138,0.19625070691108704,0.23445264995098114,0.09195288270711899,0.2678380608558655,1.7963288005392574e-07,2.1686970571279093e-08,3.3348284309207624e-09
Bicubic,urban100,img_007.png,x4,26.358159892236547,nan,0.04809412251697528,0.08097241073846817,0.08686590194702148,0.009358293376863003,0.09420321881771088,1.6218560108112364e-08,6.143701079175535e-09,5.058370570771637e-10
LIIF,urban100,img_007.png,x4,29.64195034190823,nan,0.03295357094565162,0.052828967571258545,0.051885638386011124,0.005968359764665365,0.08131179958581924,3.1069515435463513e-09,3.507673539721349e-09,4.370249510863774e-10
LTE,urban100,img_007.png,x4,29.668733006534097,nan,0.03285211615373722,0.052585918456315994,0.05166502296924591,0.005969006102532148,0.08095119893550873,3.1029857787278265e-09,3.4857523923761028e-09,4.3278097100598166e-10
LTE-NoCell,urban100,img_007.png,x4,29.54682414025713,nan,0.03331645564523891,0.0536576472222805,0.05290933698415756,0.005972329061478376,0.08283478766679764,3.14654902168677e-09,3.57283708634432e-09,4.564516124031704e-10
LTE-FeaturePhase,urban100,img_007.png,x4,29.527679426156176,nan,0.033389969987674586,0.05373020097613335,0.05309148132801056,0.005994073115289211,0.08252820372581482,3.2284905082036572e-09,3.5878362112049794e-09,4.5105124793384226e-10
