model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
SC-INR,bsd100,x16,10,22.811714018625942,0.5112441446732869,0.07466014993517629,0.11771263480186463,0.1329575724899769,0.02055716445320286,0.13385639935731888,3.822695899764865e-07,4.533269047990417e-08,6.973674981455858e-09
SC-INR,bsd100,x30,10,20.77236037524862,0.41925033229109643,0.0932877154734315,0.13567954748868943,0.15676581338047982,0.03839779947884381,0.13703345097601413,9.101773712389643e-07,6.209333866256517e-08,9.474790179357547e-09
SC-INR,bsd100,x4,10,27.683027944395185,0.8199663341110821,0.04375961078274359,0.07478524707257747,0.07844836376607418,0.008130554427043534,0.12531718313694,1.7174306326132603e-08,3.076874772328155e-08,5.70506847366948e-09
SC-INR,bsd100,x8,10,24.987264040196866,0.6662522694962763,0.0588422006139185,0.09850099794566632,0.1072605986148119,0.011323783302213997,0.13087465912103652,1.468297071285359e-07,3.902611448618333e-08,6.186575153625449e-09
SC-INR,urban100,x16,10,20.34013746593359,0.4833094085890391,0.10177517596966182,0.1581265889108181,0.17917607501149177,0.030522086704149843,0.180345019698143,1.4807043853874565e-07,1.590709010094874e-08,2.454010702947014e-09
SC-INR,urban100,x30,10,18.631968274390722,0.36155935499420755,0.12304475197082725,0.17534297257661818,0.20113223865628244,0.058562578074634074,0.1825351297855377,2.692389862036363e-07,1.768549457480111e-08,2.748927998529731e-09
SC-INR,urban100,x4,10,26.610880505312345,0.8562899693586361,0.05055563125882538,0.0865666452795267,0.09036253020167351,0.008599624270573258,0.15990960374474525,3.096886608100065e-09,8.446494092530207e-09,2.008334832174496e-09
SC-INR,urban100,x8,10,22.78711306800291,0.6841909788055245,0.07726068980831786,0.130575555190444,0.14195732474327089,0.013570452528074383,0.17766971923410893,5.0749934684527195e-08,1.4364729957554549e-08,2.290975506840685e-09
SC-INR-NoPhi,bsd100,x16,10,22.811067030696314,0.5115930609538851,0.07465437460943045,0.11775898933410645,0.13308572843670846,0.020246541942469776,0.13386925384402276,3.818466861103265e-07,4.53732504207676e-08,6.974125231891766e-09
SC-INR-NoPhi,bsd100,x30,10,20.796142007328488,0.4197251367428212,0.09315863745328617,0.135731340944767,0.15676232948899269,0.038149920850992204,0.13703222423791886,9.091243452609636e-07,6.208876469831736e-08,9.473418612302187e-09
