model,dataset,image,lr_scale,observation_scale,ref_scale,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,urban100,img_001.png,x4,x30,x4,0.30211400985717773,0.2147514373064041,0.01056718174368143,0.0007532959571108222
SC-INR-NoPhi,urban100,img_001.png,x4,x4,x4,0.3047887682914734,0.2144002765417099,0.0,nan
SC-INR-NoPhi,urban100,img_001.png,x4,x6,x4,0.3048713207244873,0.21451859176158905,0.0021457753609865904,0.0021457753609865904
SC-INR-NoPhi,urban100,img_001.png,x4,x8,x4,0.30488988757133484,0.21454870700836182,0.00279039959423244,0.0007148492732085288
SC-INR-NoPhi,urban100,img_001.png,x4,x12,x4,0.3049013018608093,0.21456675231456757,0.0032126079313457012,0.0005022310651838779
SC-INR-NoPhi,urban100,img_001.png,x4,x16,x4,0.3049050271511078,0.21457213163375854,0.003350714221596718,0.00017150169878732413
SC-INR-NoPhi,urban100,img_001.png,x4,x24,x4,0.30490773916244507,0.21457602083683014,0.0034473484847694635,0.00012073944526491687
SC-INR-NoPhi,urban100,img_001.png,x4,x30,x4,0.30490848422050476,0.21457716822624207,0.003474815282970667,3.4613411116879433e-05
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x4,x4,0.30424532294273376,0.21421100199222565,0.0,nan
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x6,x4,0.30419033765792847,0.2143234759569168,0.0021101124584674835,0.0021101124584674835
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x8,x4,0.30417388677597046,0.21435324847698212,0.0027514745015650988,0.0006917113205417991
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x12,x4,0.3041614890098572,0.214370459318161,0.003158342791721225,0.0004584839625749737
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x16,x4,0.30415645241737366,0.21437574923038483,0.003291532164439559,0.00015596199955325574
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x24,x4,0.30415236949920654,0.21437938511371613,0.003386011114344001,0.0001126890056184493
SC-INR-NoPhi-Signed,urban100,img_001.png,x4,x30,x4,0.30415111780166626,0.2143803983926773,0.0034130336716771126,3.2496784115210176e-05
SC-INR,urban100,img_001.png,x4,x4,x4,0.3044353425502777,0.2144942581653595,0.0,nan
SC-INR,urban100,img_001.png,x4,x6,x4,0.3044781982898712,0.21461713314056396,0.0023178940173238516,0.0023178940173238516
SC-INR,urban100,img_001.png,x4,x8,x4,0.30450522899627686,0.2146303355693817,0.0029769043903797865,0.0007408738601952791
SC-INR,urban100,img_001.png,x4,x12,x4,0.3045288324356079,0.2146323174238205,0.0034044382628053427,0.0005146581679582596
SC-INR,urban100,img_001.png,x4,x16,x4,0.304539293050766,0.21463263034820557,0.0035476279444992542,0.00017850284348241985
SC-INR,urban100,img_001.png,x4,x24,x4,0.3045477271080017,0.2146327942609787,0.003646895522251725,0.000125797392684035
SC-INR,urban100,img_001.png,x4,x30,x4,0.3045502305030823,0.21463274955749512,0.0036750196013599634,3.5969711461802945e-05
SC-INR-NoSinc,urban100,img_001.png,x4,x4,x4,0.3045176565647125,0.21428182721138,0.0,nan
SC-INR-NoSinc,urban100,img_001.png,x4,x6,x4,0.3045176565647125,0.21428182721138,0.0,0.0
SC-INR-NoSinc,urban100,img_001.png,x4,x8,x4,0.3045176565647125,0.21428182721138,0.0,0.0
SC-INR-NoSinc,urban100,img_001.png,x4,x12,x4,0.3045176565647125,0.21428182721138,0.0,0.0
SC-INR-NoSinc,urban100,img_001.png,x4,x16,x4,0.3045176565647125,0.21428182721138,0.0,0.0
SC-INR-NoSinc,urban100,img_001.png,x4,x24,x4,0.3045176565647125,0.21428182721138,0.0,0.0
SC-INR-NoSinc,urban100,img_001.png,x4,x30,x4,0.3045176565647125,0.21428182721138,0.0,0.0
LTE,urban100,img_002.png,x4,x4,x4,0.42671987414360046,0.2073049694299698,0.0,nan
LTE,urban100,img_002.png,x4,x6,x4,0.4267071485519409,0.20784862339496613,0.004212447442114353,0.004212447442114353
LTE,urban100,img_002.png,x4,x8,x4,0.4266045093536377,0.2080017328262329,0.006014878861606121,0.0028836221899837255
LTE,urban100,img_002.png,x4,x12,x4,0.4263441562652588,0.20802967250347137,0.00843545887619257,0.0037372258957475424
LTE,urban100,img_002.png,x4,x16,x4,0.4261280298233032,0.20800194144248962,0.010011476464569569,0.002222430892288685
LTE,urban100,img_002.png,x4,x24,x4,0.42584094405174255,0.20795102417469025,0.011805668473243713,0.002353057498112321
LTE,urban100,img_002.png,x4,x30,x4,0.42570120096206665,0.20792312920093536,0.012579171918332577,0.0009917167481034994
SC-INR-NoPhi,urban100,img_002.png,x4,x4,x4,0.42824798822402954,0.2070196568965912,0.0,nan
